event_date,y
2020-01-01,5721
2020-01-02,8274
2020-01-03,9344
2020-01-04,9864
2020-01-05,10435
2020-01-06,10166
2020-01-07,10321
2020-01-08,10295
2020-01-09,10584
2020-01-10,10042
2020-01-11,10032
2020-01-12,10568
2020-01-13,10795
2020-01-14,10804
2020-01-15,10962
2020-01-16,10685
2020-01-17,9946
2020-01-18,9879
2020-01-19,10123
2020-01-20,10930
2020-01-21,10717
2020-01-22,10662
2020-01-23,10134
2020-01-24,9968
2020-01-25,10005
2020-01-26,10468
2020-01-27,10684
2020-01-28,10554
2020-01-29,10458
2020-01-30,10438
2020-01-31,9962
2020-02-01,10018
2020-02-02,10702
2020-02-03,11031
2020-02-04,10987
2020-02-05,10744
2020-02-06,10648
2020-02-07,9781
2020-02-08,9257
2020-02-09,10207
2020-02-10,10596
2020-02-11,10539
2020-02-12,10631
2020-02-13,10488
2020-02-14,9522
2020-02-15,9836
2020-02-16,10176
2020-02-17,10808
2020-02-18,10822
2020-02-19,10684
2020-02-20,10513
2020-02-21,9751
2020-02-22,9562
2020-02-23,9935
2020-02-24,10678
2020-02-25,10678
2020-02-26,10591
2020-02-27,10346
2020-02-28,9626
2020-02-29,9521
2020-03-01,10144
2020-03-02,10729
2020-03-03,10581
2020-03-04,10551
2020-03-05,10294
2020-03-06,9410
2020-03-07,8944
2020-03-08,8258
2020-03-09,10355
2020-03-10,11057
2020-03-11,10764
2020-03-12,10120
2020-03-13,9605
2020-03-14,9932
2020-03-15,10172
2020-03-16,10350
2020-03-17,9908
2020-03-18,8490
2020-03-19,8345
2020-03-20,8516
2020-03-21,8730
2020-03-22,8527
2020-03-23,9131
2020-03-24,9453
2020-03-25,9340
2020-03-26,9004
2020-03-27,7766
2020-03-28,7444
2020-03-29,7540
2020-03-30,7039
2020-03-31,6389
2020-04-01,6369
2020-04-02,6120
2020-04-03,5877
2020-04-04,5994
2020-04-05,6288
2020-04-06,6101
2020-04-07,6119
2020-04-08,6549
2020-04-09,6368
2020-04-10,6416
2020-04-11,6229
2020-04-12,6644
2020-04-13,6519
2020-04-14,6243
2020-04-15,6172
2020-04-16,5918
2020-04-17,5784
2020-04-18,5774
2020-04-19,5871
2020-04-20,6218
2020-04-21,6508
2020-04-22,6412
2020-04-23,6328
2020-04-24,6001
2020-04-25,6477
2020-04-26,6835
2020-04-27,7031
2020-04-28,7361
2020-04-29,7842
2020-04-30,8105
2020-05-01,7927
2020-05-02,8066
2020-05-03,8593
2020-05-04,8740
2020-05-05,8788
2020-05-06,8777
2020-05-07,8678
2020-05-08,9116
2020-05-09,8814
2020-05-10,9271
2020-05-11,9342
2020-05-12,10167
2020-05-13,10234
2020-05-14,10214
2020-05-15,10235
2020-05-16,10639
2020-05-17,10985
2020-05-18,11144
2020-05-19,10872
2020-05-20,10960
2020-05-21,10948
2020-05-22,10677
2020-05-23,10621
2020-05-24,10551
2020-05-25,10558
2020-05-26,11167
2020-05-27,10985
2020-05-28,10945
2020-05-29,10625
2020-05-30,10277
2020-05-31,10889
2020-06-01,10904
2020-06-02,11338
2020-06-03,11119
2020-06-04,10944
2020-06-05,10325
2020-06-06,10277
2020-06-07,10622
2020-06-08,11459
2020-06-09,11219
2020-06-10,11319
2020-06-11,10972
2020-06-12,10596
2020-06-13,10256
2020-06-14,10808
2020-06-15,11482
2020-06-16,11055
2020-06-17,11102
2020-06-18,11005
2020-06-19,10404
2020-06-20,10512
2020-06-21,11100
2020-06-22,11374
2020-06-23,11128
2020-06-24,11094
2020-06-25,10873
2020-06-26,10426
2020-06-27,10511
2020-06-28,11247
2020-06-29,11181
2020-06-30,10441
2020-07-01,10369
2020-07-02,10129
2020-07-03,9839
2020-07-04,9712
2020-07-05,10087
2020-07-06,10970
2020-07-07,10991
2020-07-08,10975
2020-07-09,11001
2020-07-10,10756
2020-07-11,10349
2020-07-12,10693
2020-07-13,11605
2020-07-14,11771
2020-07-15,11792
2020-07-16,11536
2020-07-17,11116
2020-07-18,10978
2020-07-19,11276
2020-07-20,12045
2020-07-21,12404
2020-07-22,12465
2020-07-23,12235
2020-07-24,11754
2020-07-25,11613
2020-07-26,11904
2020-07-27,12812
2020-07-28,12892
2020-07-29,12929
2020-07-30,11939
2020-07-31,11373
2020-08-01,11795
2020-08-02,12352
2020-08-03,12963
2020-08-04,12914
2020-08-05,12650
2020-08-06,12598
2020-08-07,11988
2020-08-08,11689
2020-08-09,12381
2020-08-10,13107
2020-08-11,13221
2020-08-12,12955
2020-08-13,13066
2020-08-14,12348
2020-08-15,11774
2020-08-16,12421
2020-08-17,12725
2020-08-18,12854
2020-08-19,12651
2020-08-20,12470
2020-08-21,11815
2020-08-22,11892
2020-08-23,12506
2020-08-24,12578
2020-08-25,12688
2020-08-26,12636
2020-08-27,12455
2020-08-28,11651
2020-08-29,11516
2020-08-30,11995
2020-08-31,12748
2020-09-01,12759
2020-09-02,12675
2020-09-03,13132
2020-09-04,12409
2020-09-05,12344
2020-09-06,13052
2020-09-07,13365
2020-09-08,13242
2020-09-09,13062
2020-09-10,12592
2020-09-11,12055
2020-09-12,12077
2020-09-13,12743
2020-09-14,13396
2020-09-15,13093
2020-09-16,12945
2020-09-17,13066
2020-09-18,12343
2020-09-19,12135
2020-09-20,12371
2020-09-21,13234
2020-09-22,13231
2020-09-23,13179
2020-09-24,12893
2020-09-25,11818
2020-09-26,11955
2020-09-27,12566
2020-09-28,13134
2020-09-29,13212
2020-09-30,13128
2020-10-01,12873
2020-10-02,12343
2020-10-03,12039
2020-10-04,12806
2020-10-05,13527
2020-10-06,13365
2020-10-07,13286
2020-10-08,13186
2020-10-09,12348
2020-10-10,12132
2020-10-11,12952
2020-10-12,13674
2020-10-13,13534
2020-10-14,13000
2020-10-15,12897
2020-10-16,12004
2020-10-17,11941
2020-10-18,12935
2020-10-19,13526
2020-10-20,13345
2020-10-21,13296
2020-10-22,13003
2020-10-23,12508
2020-10-24,12113
2020-10-25,12527
2020-10-26,13475
2020-10-27,13521
2020-10-28,13052
2020-10-29,13053
2020-10-30,12462
2020-10-31,12002
2020-11-01,12714
2020-11-02,13497
2020-11-03,13467
2020-11-04,13187
2020-11-05,12891
2020-11-06,12188
2020-11-07,12016
2020-11-08,12834
2020-11-09,13478
2020-11-10,13081
2020-11-11,12979
2020-11-12,13199
2020-11-13,12321
2020-11-14,12225
2020-11-15,12952
2020-11-16,13421
2020-11-17,13202
2020-11-18,13041
2020-11-19,12663
2020-11-20,11965
2020-11-21,12046
2020-11-22,12885
2020-11-23,13260
2020-11-24,12915
2020-11-25,12649
2020-11-26,12168
2020-11-27,11556
2020-11-28,11385
2020-11-29,12122
2020-11-30,12338
2020-12-01,12553
2020-12-02,12473
2020-12-03,12275
2020-12-04,11594
2020-12-05,11435
2020-12-06,12366
2020-12-07,12654
2020-12-08,12650
2020-12-09,12296
2020-12-10,12245
2020-12-11,11495
2020-12-12,11406
2020-12-13,12098
2020-12-14,12123
2020-12-15,11539
2020-12-16,11238
2020-12-17,11457
2020-12-18,11563
2020-12-19,11564
2020-12-20,12229
2020-12-21,12188
2020-12-22,11952
2020-12-23,11584
2020-12-24,11309
2020-12-25,10705
2020-12-26,9732
2020-12-27,11244
2020-12-28,11362
2020-12-29,10612
2020-12-30,9189
2020-12-31,6711
2021-01-01,7416
2021-01-02,10115
2021-01-03,11512
2021-01-04,12696
2021-01-05,13338
2021-01-06,12677
2021-01-07,12736
2021-01-08,12560
2021-01-09,12401
2021-01-10,12716
2021-01-11,13516
2021-01-12,13053
2021-01-13,12541
2021-01-14,12563
2021-01-15,12043
2021-01-16,11962
2021-01-17,12484
2021-01-18,13517
2021-01-19,13054
2021-01-20,12680
2021-01-21,12673
2021-01-22,11888
2021-01-23,11636
2021-01-24,12046
2021-01-25,12706
2021-01-26,12678
2021-01-27,12648
2021-01-28,12598
2021-01-29,11919
2021-01-30,11759
2021-01-31,12609
2021-02-01,12968
2021-02-02,12987
2021-02-03,12686
2021-02-04,12504
2021-02-05,11874
2021-02-06,11826
2021-02-07,12458
2021-02-08,12979
2021-02-09,12041
2021-02-10,12368
2021-02-11,12275
2021-02-12,11592
2021-02-13,11460
2021-02-14,11859
2021-02-15,12844
2021-02-16,12846
2021-02-17,12623
2021-02-18,12224
2021-02-19,11910
2021-02-20,11726
2021-02-21,12494
2021-02-22,12844
2021-02-23,12076
2021-02-24,12363
2021-02-25,11766
2021-02-26,11380
2021-02-27,11477
2021-02-28,11954
2021-03-01,12113
2021-03-02,12306
2021-03-03,12204
2021-03-04,11941
2021-03-05,10788
2021-03-06,10686
2021-03-07,10674
2021-03-08,9706
2021-03-09,12150
2021-03-10,12309
2021-03-11,12362
2021-03-12,11701
2021-03-13,11971
2021-03-14,12119
2021-03-15,12698
2021-03-16,12679
2021-03-17,12372
2021-03-18,12208
2021-03-19,11276
2021-03-20,11235
2021-03-21,11160
2021-03-22,10709
2021-03-23,12065
2021-03-24,12684
2021-03-25,12661
2021-03-26,12202
2021-03-27,12091
2021-03-28,12801
2021-03-29,13359
2021-03-30,12871
2021-03-31,12854
2021-04-01,12547
2021-04-02,12270
2021-04-03,12150
2021-04-04,12996
2021-04-05,13388
2021-04-06,13122
2021-04-07,12868
2021-04-08,12670
2021-04-09,11884
2021-04-10,11766
2021-04-11,12344
2021-04-12,12900
2021-04-13,12669
2021-04-14,13146
2021-04-15,13314
2021-04-16,13024
2021-04-17,13122
2021-04-18,13816
2021-04-19,14546
2021-04-20,14398
2021-04-21,14507
2021-04-22,14379
2021-04-23,13746
2021-04-24,13499
2021-04-25,14027
2021-04-26,14605
2021-04-27,14144
2021-04-28,14034
2021-04-29,13540
2021-04-30,12982
2021-05-01,12861
2021-05-02,13418
2021-05-03,14252
2021-05-04,13992
2021-05-05,13706
2021-05-06,13042
2021-05-07,12295
2021-05-08,12806
2021-05-09,12476
2021-05-10,14004
2021-05-11,13557
2021-05-12,13321
2021-05-13,13066
2021-05-14,12452
2021-05-15,11990
2021-05-16,12229
2021-05-17,13408
2021-05-18,13011
2021-05-19,13215
2021-05-20,12852
2021-05-21,12006
2021-05-22,11740
2021-05-23,11964
2021-05-24,12848
2021-05-25,12367
2021-05-26,12488
2021-05-27,12364
2021-05-28,11805
2021-05-29,11488
2021-05-30,11721
2021-05-31,12822
2021-06-01,12350
2021-06-02,12409
2021-06-03,12547
2021-06-04,11921
2021-06-05,11590
2021-06-06,11815
2021-06-07,12801
2021-06-08,12985
2021-06-09,12688
2021-06-10,12439
2021-06-11,11990
2021-06-12,11243
2021-06-13,12089
2021-06-14,12948
2021-06-15,12742
2021-06-16,12652
2021-06-17,12176
2021-06-18,11759
2021-06-19,11351
2021-06-20,12191
2021-06-21,13231
2021-06-22,10391
2021-06-23,12880
2021-06-24,12729
2021-06-25,12191
2021-06-26,11719
2021-06-27,12188
2021-06-28,13139
2021-06-29,13174
2021-06-30,12910
2021-07-01,12594
2021-07-02,12202
2021-07-03,11529
2021-07-04,11446
2021-07-05,12257
2021-07-06,12905
2021-07-07,12991
2021-07-08,12894
2021-07-09,12485
2021-07-10,12292
2021-07-11,12365
2021-07-12,13606
2021-07-13,13679
2021-07-14,13541
2021-07-15,13444
2021-07-16,12837
2021-07-17,12333
2021-07-18,12822
2021-07-19,13243
2021-07-20,12699
2021-07-21,13521
2021-07-22,13746
2021-07-23,13055
2021-07-24,12456
2021-07-25,12864
2021-07-26,14019
2021-07-27,13921
2021-07-28,13882
2021-07-29,13703
2021-07-30,12966
2021-07-31,12824
2021-08-01,13201
2021-08-02,14197
2021-08-03,14086
2021-08-04,14111
